param,rmse_round,succ_round,rmse_noise,succ_noise,rmse_sample,succ_sample
1,0.0,1.0,1.06517468805347,0.9866666666666667,46.86394266813011,0.6566666666666667
2,0.7199467399790881,1.0,2.0122154307331375,0.9066666666666667,30.248445422037637,0.6633333333333334
3,0.8080869552904973,1.0,2.983053643757488,0.83,20.64916242870724,0.6666666666666666
4,1.2432987788902026,0.9766666666666666,4.033884285357808,0.7400000000000001,15.39482162894141,0.6666666666666666
5,1.4109182865656074,0.9733333333333333,4.913017542470733,0.7133333333333333,12.700780118343781,0.6666666666666666
10,2.811444555835424,0.8099999999999999,10.660290215668729,0.5499999999999999,9.497297358675299,0.6766666666666667
20,3.8106268847892006,0.61,20.678477349298735,0.5833333333333334,7.863576639018066,0.73
40,16.993596086965784,0.7833333333333333,41.32167020810182,0.5166666666666667,5.170146820413438,0.7933333333333333
60,17.784418243621513,0.65,60.58234749966899,0.5233333333333333,2.6159042742246013,0.86
80,17.764928356312463,0.65,78.81339811206543,0.5033333333333333,1.696163818336063,0.9466666666666667
100,17.900712480970835,0.65,97.22572860005808,0.5299999999999999,0.0,1.0
